BoreholeID,GeologyID,DepthTop,DepthBase
BH-055,FILL,0,0.12
BH-056,FILL,0,0.91
BH-057,FILL,0,0.28
BH-058,FILL,0,0.2
BH-059,FILL,0,0.2
BH-060,FILL,0,0.3
BH-061,FILL,0,0.15
BH-062,FILL,0,0.23
BH-063,FILL,0,1.45
BH-064,FILL,0,0.08
BH-065,FILL,0,1.83
BH-066,FILL,0,0.24
BH-067,FILL,0,3.73
BH-068,FILL,0,1.07
BH-068,TTC-G6,5.64,7.01
BH-069,FILL,0,0.1
BH-070,FILL,0,0.28
BH-071,FILL,0,0.15
BH-072,FILL,0,0.08
BH-073,FILL,0,1.22
BH-074,FILL,0,3.05
BH-075,FILL,0,1.52
BH-076,FILL,0,3.05
BH-077,FILL,0,0.25
BH-078,FILL,0,2.59
BH-079,FILL,0,0.76
BH-080,FILL,0,3.73
BH-081,FILL,0,3.05
BH-082,FILL,0,0.69
BH-083,FILL,0,0.61
BH-084,FILL,0,3.05
BH-085,FILL,0,1.45
BH-087,FILL,0,0.15
BH-088,FILL,0,1.45
BH-089,FILL,0,5.33
BH-090,FILL,0,0.1
BH-092,FILL,0,1.45
BH-093,FILL,0,0.7
BH-094,FILL,0,0.15
BH-095,FILL,0,0.08
BH-096,FILL,0,0.16
BH-097,FILL,0,0.17
BH-099,FILL,0,0.69
BH-100,FILL,0,0.3
BH-101,FILL,0,0.69
BH-102,FILL,0,0.77
BH-103,FILL,0,0.07
BH-104,FILL,0,0.46
BH-104,Undefined,0.76,3.05
BH-105,FILL,0,4.5
BH-106,FILL,0,5.64
BH-107,FILL,0,1.52
BH-108,FILL,0,0.37
BH-109,FILL,0,0.69
BH-110,FILL,0,0.69
BH-111,FILL,0,0.69
BH-112,FILL,0,3.66
BH-113,FILL,0,2.29
BH-114,FILL,0,1.45
BH-115,FILL,0,1.45
BH-116,FILL,0,0.14
BH-117,FILL,0,1.45
BH-118,FILL,0,1.45
BH-119,FILL,0,0.76
BH-120,FILL,0,0.12
BH-121,FILL,0,0.3
BH-122,FILL,0,0.69
BH-123,FILL,0,1.45
BH-124,FILL,0,0.15
BH-125,FILL,0.1,0.4
BH-126,FILL,0,0.1
BH-125,FILL,0,0.1
BH-126,FILL,0.1,0.5
BH-127,FILL,0.1,0.28
BH-127,FILL,0,0.1
BH-128,FILL,0,3.1
BH-129,FILL,0,4.5
BH-131,FILL,0,0.26
BH-132,FILL,0,0.17
BH-133,FILL,0,5.64
BH-134,FILL,0.1,0.38
BH-134,FILL,0,0.1
BH-135,FILL,0,0.13
BH-136,FILL,0,2.21
BH-137,FILL,0,0.13
BH-138,FILL,0,3.73
BH-139,FILL,0,0.69
BH-140,FILL,0,0.1
BH-140,FILL,0.1,0.3
BH-141,FILL,0,1.45
BH-142,FILL,0,0.26
BH-143,FILL,0,0.26
BH-144,FILL,0,0.27
BH-145,FILL,0,0.15
BH-146,FILL,0,0.26
BH-147,FILL,0,0.32
BH-148,FILL,0,0.38
BH-149,FILL,0,0.28
BH-150,FILL,0,0.3
BH-151,FILL,0,0.3
BH-152,FILL,0,0.3
BH-153,FILL,0,0.36
BH-154,FILL,0,3.05
BH-155,FILL,0,0.36
BH-156,FILL,0,0.3
BH-157,FILL,0,0.15
BH-158,FILL,0,0.15
BH-159,FILL,0,0.36
BH-160,FILL,0,0.13
BH-161,FILL,0,0.08
BH-162,FILL,0,0.07
BH-162,TTC-G2,45.52,46.23
BH-163,FILL,0,0.2
BH-165,FILL,0,0.08
BH-166,FILL,0,0.15
BH-167,FILL,0,0.2
BH-168,FILL,0,0.09
BH-169,FILL,0,0.08
BH-170,FILL,0,0.08
BH-172,FILL,0,0.06
BH-173,FILL,0,0.2
BH-174,FILL,0,0.13
BH-175,FILL,0,0.06
BH-176,FILL,0,0.1
BH-176,FILL,0.1,0.61
BH-177,FILL,0.13,0.46
BH-177,FILL,0,0.13
BH-178,FILL,0,0.3
BH-179,FILL,0,0.15
BH-180,FILL,0,0.46
BH-181,FILL,0,0.3
BH-181,FILL,0.3,0.71
BH-182,FILL,0,0.33
BH-183,FILL,0,0.3
BH-184,FILL,0,0.15
BH-185,FILL,0,0.08
BH-186,FILL,0.38,0.69
BH-186,FILL,0,0.38
BH-187,FILL,0,0.15
BH-188,FILL,0,0.4
BH-189,FILL,0,0.15
BH-190,FILL,0.3,0.83
BH-190,FILL,0,0.3
BH-192,FILL,0,0.13
BH-192,FILL,0.13,0.56
BH-193,FILL,0,0.23
BH-194,FILL,0,0.2
BH-195,FILL,0.1,0.31
BH-195,FILL,0,0.1
BH-196,FILL,0,1.83
BH-197,FILL,0,0.3
BH-198,FILL,0,0.35
BH-199,FILL,0,0.33
BH-201,FILL,0,0.32
BH-202,FILL,0,0.27
BH-203,FILL,0,0.08
BH-204,FILL,0,0.12
BH-205,FILL,0,0.1
BH-206,FILL,0,0.83
BH-207,FILL,0,0.1
BH-208,FILL,0,0.2
BH-209,FILL,0,0.1
BH-210,FILL,0,0.23
BH-211,FILL,0,0.15
BH-212,FILL,0,0.61
BH-213,FILL,0,0.55
BH-214,FILL,0,0.08
BH-215,TOPSOIL,2.7,3.1
BH-215,CONCRETE,0.1,0.3
BH-215,ASPHALT,0,0.1
BH-216,FILL,0,0.66
BH-217,FILL,0,0.54
BH-220,TOPSOIL,0,0.2
BH-220,TOPSOIL,6.5,7.2
BH-221,TOPSOIL,0,0.2
BH-221,TOPSOIL,6.5,6.9
BH-222,FILL,0,0.2
BH-223,FILL,0,0.04
BH-225,ASPHALT,0,0.1
BH-225,CONCRETE,0.1,0.3
BH-226,FILL,0,0.1
BH-227,CONCRETE,0.1,0.3
BH-227,TTC-G4,11.7,19.4
BH-227,ASPHALT,0,0.1
BH-228,FILL,0,0.2
BH-229,FILL,0,0.07
BH-231,FILL,0,0.2
BH-233,FILL,0,2.74
BH-234,FILL,0,0.23
BH-235,FILL,0,0.09
BH-238,FILL,0,0.27
BH-239,FILL,0,0.12
BH-240,FILL,0,0.1
BH-242,FILL,0,0.1
BH-243,FILL,0,0.1
